Date,Value,Year,Month
1/1/19,422,2019,1
2/1/19,355,2019,2
3/1/19,274,2019,3
4/1/19,304,2019,4
5/1/19,303,2019,5
6/1/19,400,2019,6
7/1/19,400,2019,7
8/1/19,438,2019,8
9/1/19,374,2019,9
10/1/19,400,2019,10
11/1/19,334,2019,11
12/1/19,353,2019,12
1/1/20,425,2020,1
2/1/20,331,2020,2
3/1/20,152,2020,3
4/1/20,14,2020,4
5/1/20,4,2020,5
6/1/20,23,2020,6
7/1/20,32,2020,7
8/1/20,53,2020,8
9/1/20,304,2020,9
10/1/20,189,2020,10
11/1/20,142,2020,11
12/1/20,167,2020,12
1/1/21,100,2021,1
2/1/21,172,2021,2
3/1/21,214,2021,3
4/1/21,140,2021,4
5/1/21,151,2021,5
6/1/21,173,2021,6
7/1/21,154,2021,7
8/1/21,248,2021,8
9/1/21,278,2021,9
10/1/21,296,2021,10
11/1/21,271,2021,11
12/1/21,281,2021,12
1/1/22,366,2022,1
2/1/22,271,2022,2
3/1/22,336,2022,3
4/1/22,291,2022,4
5/1/22,295,2022,5
6/1/22,390,2022,6
7/1/22,386,2022,7
8/1/22,417,2022,8
9/1/22,406,2022,9
10/1/22,383,2022,10
11/1/22,350,2022,11
12/1/22,340,2022,12
1/1/23,487,2023,1
2/1/23,460,2023,2
3/1/23,415,2023,3
4/1/23,348,2023,4
5/1/23,401,2023,5
6/1/23,443,2023,6
7/1/23,478,2023,7
8/1/23,453,2023,8
9/1/23,126,2023,9
